数据表,字段名,数据类型,是否有获取,说明,PK,NOT NULL,UNIQUE,DEFAULT,FK,CHECK,备注,父记录
company_address,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业地址信息表
company_address,address_type,VARCHAR(64),,地址类型,,1,,registered,,,,企业地址信息表
company_address,address_text,VARCHAR(255),,企业地址,,1,,,,,,企业地址信息表
company_address,province,VARCHAR(255),,省,,,,,,,,企业地址信息表
company_address,city,VARCHAR(255),,市,,,,,,,,企业地址信息表
company_address,district,VARCHAR(255),,区县,,,,,,,,企业地址信息表
company_address,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业地址信息表
company_basic,company_id,BIGINT,,企业唯一标识,1,1,,,,,AUTO_INCREMENT,企业基础信息表
company_basic,company_name,VARCHAR(255),,企业名称,,,,,,,,企业基础信息表
company_basic,company_name_en,VARCHAR(255),,企业英文名称,,,,,,,,企业基础信息表
company_basic,former_name_latest,VARCHAR(255),,企业曾用名（最新）,,,,,,,,企业基础信息表
company_basic,credit_code,CHAR(18),,统一社会信用代码,,1,1,,,,,企业基础信息表
company_basic,legal_representative,VARCHAR(255),,法定代表人,,,,,,,,企业基础信息表
company_basic,register_number,CHAR(15),,注册号（工商注册号，旧版企业登记编号）,,,,,,,,企业基础信息表
company_basic,approved_date,DATE,,核准日期（工商信息最后核准更新日期）,,,,,,,,企业基础信息表
company_basic,org_code,CHAR(9),,组织机构代码,,,,,,,,企业基础信息表
company_basic,establish_date,DATE,,成立日期,,,,,,,,企业基础信息表
company_basic,business_term,VARCHAR(255),,经营期限,,,,,,,,企业基础信息表
company_basic,business_scope,TEXT,,经营范围,,,,,,,,企业基础信息表
company_basic,company_status,VARCHAR(255),,经营状态,,,,,,,,企业基础信息表
company_basic,email_business,VARCHAR(255),,企业邮箱（工商信息）,,,,,,,,企业基础信息表
company_basic,email_auth,VARCHAR(255),,企业邮箱（认证）,,,,,,,,企业基础信息表
company_basic,website,VARCHAR(255),,企业网站 URL,,,,,,,,企业基础信息表
company_basic,contact_phone,VARCHAR(255),,联系电话,,,,,,,,企业基础信息表
company_basic,contact_info,VARCHAR(255),,联系方式,,,,,,,,企业基础信息表
company_basic,recommended_phone,VARCHAR(255),,推荐电话,,,,,,,,企业基础信息表
company_basic,latest_shareholder_name,VARCHAR(255),,股东（最新）,,,,,,,,企业基础信息表
company_basic,register_sheng,VARCHAR(255),,注册地（省）,,,,,,,,企业基础信息表
company_basic,register_shi,VARCHAR(255),,注册地（市）,,,,,,,,企业基础信息表
company_basic,register_xian,VARCHAR(255),,注册地（区县）,,,,,,,,企业基础信息表
company_basic,subdistrict,VARCHAR(255),,所属街道/地区,,,,,,,,企业基础信息表
company_basic,register_capital,"DECIMAL(18,4)",,注册资本（万元）,,,,,,,,企业基础信息表
company_basic,paid_capital,"DECIMAL(18,4)",,实缴资本（万元）,,,,,,,,企业基础信息表
company_basic,company_type,VARCHAR(255),,企业类型,,,,,,,,企业基础信息表
company_basic,org_type,VARCHAR(255),,组织类型（暂时保留）,,,,,,,,企业基础信息表
company_basic,investment_type,VARCHAR(255),,投资类型,,,,,,,,企业基础信息表
company_basic,company_scale,VARCHAR(255),,企业规模,,,,,,,,企业基础信息表
company_basic,employee_count,INT,,员工人数（最新）,,,,,,,,企业基础信息表
company_basic,insured_count,INT,,参保人数,,,,,,,,企业基础信息表
company_basic,industry_belong,VARCHAR(255),,所属行业（国标）,,,,,,,,企业基础信息表
company_basic,industry_belong_code,VARCHAR(255),,所属行业代码（国标）,,,,,,,,企业基础信息表
company_basic,is_branch,TINYINT,,是否为分支机构（1:是，0:否）,,1,,0,,"(`is_branch` in (0,1))",,企业基础信息表
company_basic,branch_id,BIGINT,,分支机构唯一标识,,,,,,,,企业基础信息表
company_basic,branch_name,VARCHAR(255),,分支机构名称（最新）,,,,,,,,企业基础信息表
company_basic,register_address,VARCHAR(255),,企业地址（工商信息）,,,,,,,,企业基础信息表
company_basic,register_address_detail,VARCHAR(255),,企业地址（详细，最新）,,,,,,,,企业基础信息表
company_basic,qualification_label,VARCHAR(255),,企业资质/企业科技属性（最新）,,,,,,,,企业基础信息表
company_basic,is_general_taxpayer,TINYINT,,是否为一般纳税人（1:是，0:否）,,1,,0,,"(`is_general_taxpayer` in (0,1))",,企业基础信息表
company_basic,taxpayer_qualifications,VARCHAR(255),,纳税人资质,,,,,,,,企业基础信息表
company_basic,taxpayer_credit_rating,VARCHAR(16),,纳税人信用等级：ABCDM,,,,,,,,企业基础信息表
company_basic,financing_round,VARCHAR(255),,投融资轮次（最新）,,,,,,,,企业基础信息表
company_basic,financing_round_verify_time,DATE,,投融资轮次核准时间（最新）,,,,,,,,企业基础信息表
company_basic,financing_info,VARCHAR(255),,投融资轮次信息（最新）,,,,,,,,企业基础信息表
company_basic,stock_code,VARCHAR(32),,股票代码,,,,,,,,企业基础信息表
company_basic,field_belong,TINYINT,,所属领域（1:数字医疗，2:康养）,,,,,,"((`field_belong` is null) or (`field_belong` in (1,2)))",,企业基础信息表
company_basic,is_high_tech_enterprise,TINYINT,,是否为高新技术企业（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,is_high_tech_enterprise_verify_time,DATE,,高新技术企业认证日期,,,,,,,,企业基础信息表
company_basic,is_micro_enterprise,TINYINT,,是否为小微企业（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,has_changed_info,TINYINT,,是否有变更信息（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,has_bidding,TINYINT,,是否有招投标信息（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,has_recruitment,TINYINT,,是否有招聘信息（1:是，0:否）,,1,,0,,,,企业基础信息表
company_basic,industry_chain_link,TINYINT,,产业链环节（1:上游，2:中游，3:下游）,,,,,,"((`industry_chain_link` is null) or (`industry_chain_link` in (1,2,3)))",,企业基础信息表
company_basic,has_software_copyright,TINYINT,,有无软件著作权,,1,,0,,,,企业基础信息表
company_basic,has_work_copyright,TINYINT,,有无作品著作权,,1,,0,,,,企业基础信息表
company_basic,listing_status,TINYINT,,上市状态（2:终止上市，1:正常上市，0:未上市）,,,,,,"((`listing_status` is null) or (`listing_status` in (0,1,2)))",,企业基础信息表
company_basic,same_phone_company_count,INT,,同企业电话数量,,1,,0,,,,企业基础信息表
company_basic,is_srdi_sme,TINYINT,,是否为专精特新中小企业,,1,,0,,,,企业基础信息表
company_basic,is_gazelle_company,TINYINT,,是否为瞪羚企业,,1,,0,,,,企业基础信息表
company_basic,is_tech_sme,TINYINT,,是否为科技型中小企业,,1,,0,,,,企业基础信息表
company_basic,is_egalet_company,TINYINT,,是否为雏鹰企业,,1,,0,,,,企业基础信息表
company_basic,is_srdi_little_giant,TINYINT,,是否为专精特新小巨人,,1,,0,,,,企业基础信息表
company_basic,is_innovative_sme,TINYINT,,是否为创新型中小企业,,1,,0,,,,企业基础信息表
company_basic,has_patent,TINYINT,,有无专利,,1,,0,,,,企业基础信息表
company_basic,has_trademark,TINYINT,,有无商标,,1,,0,,,,企业基础信息表
company_basic,has_legal_document,TINYINT,,有无法律文书,,1,,0,,,,企业基础信息表
company_basic,has_dishonest_execution,TINYINT,,有无失信被执行,,1,,0,,,,企业基础信息表
company_basic,has_chattel_mortgage,TINYINT,,有无动产抵押,,1,,0,,,,企业基础信息表
company_basic,has_business_abnormal,TINYINT,,有无经营异常,,1,,0,,,,企业基础信息表
company_basic,has_admin_penalty,TINYINT,,有无行政处罚,,1,,0,,,,企业基础信息表
company_basic,has_bankruptcy_overlap,TINYINT,,有无破产重叠,,1,,0,,,,企业基础信息表
company_basic,has_liquidation_info,TINYINT,,有无清算信息,,1,,0,,,,企业基础信息表
company_basic,has_env_penalty,TINYINT,,有无环保处罚,,1,,0,,,,企业基础信息表
company_basic,has_equity_freeze,TINYINT,,有无股权冻结,,1,,0,,,,企业基础信息表
company_basic,has_executed_person,TINYINT,,有无被执行人,,1,,0,,,,企业基础信息表
company_basic,has_consumption_restriction,TINYINT,,有无限制高消费,,1,,0,,,,企业基础信息表
company_basic,consumption_restriction_count,INT,,限制高消费数量,,1,,0,,,,企业基础信息表
company_basic,is_chaoyang_company,TINYINT,,是否是朝阳区企业,,1,,0,,,,企业基础信息表
company_basic,created_at,DATETIME,,创建时间,,1,,CURRENT_TIMESTAMP,,,,企业基础信息表
company_basic,updated_at,DATETIME,,更新时间,,1,,CURRENT_TIMESTAMP,,,,企业基础信息表
company_basic_count,company_id,BIGINT,,企业唯一标识,1,1,,,company_basic.company_id,,,企业聚合计数表
company_basic_count,branch_count,INT,,分支机构数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,branch_count_raw,INT,,分支机构数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,recruit_count,INT,,招聘信息数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,recruit_count_raw,INT,,招聘信息数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,software_copyright_count,INT,,软件著作权数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,software_copyright_count_raw,INT,,软件著作权数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,work_copyright_count,INT,,作品著作权数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,work_copyright_count_raw,INT,,作品著作权数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,patent_count,INT,,专利数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,patent_count_raw,INT,,专利数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,trademark_count,INT,,商标数量,,1,,0,,,,企业聚合计数表
company_basic_count,customer_count,INT,,客户数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,customer_count_raw,INT,,客户数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,ranking_count,INT,,上榜榜单数量（结构化明细）,,1,,0,,,,企业聚合计数表
company_basic_count,ranking_count_raw,INT,,上榜榜单数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,bidding_count,INT,,招投标数量（原始聚合值）,,1,,0,,,,企业聚合计数表
company_basic_count,legal_doc_case_count,INT,,法律文书（司法案件）数量,,1,,0,,,,企业聚合计数表
company_basic_count,legal_doc_judgement_count,INT,,法律文书（裁判文书）数量,,1,,0,,,,企业聚合计数表
company_basic_count,legal_doc_all_count,INT,,法律文书（全部）数量,,1,,0,,,,企业聚合计数表
company_basic_count,dishonest_execution_count,INT,,失信被执行数量,,1,,0,,,,企业聚合计数表
company_basic_count,chattel_mortgage_count,INT,,动产抵押数量,,1,,0,,,,企业聚合计数表
company_basic_count,business_abnormal_count,INT,,经营异常数量,,1,,0,,,,企业聚合计数表
company_basic_count,admin_penalty_count,INT,,行政处罚数量,,1,,0,,,,企业聚合计数表
company_basic_count,bankruptcy_overlap_count,INT,,破产重叠数量,,1,,0,,,,企业聚合计数表
company_basic_count,liquidation_info_count,INT,,清算信息数量,,1,,0,,,,企业聚合计数表
company_basic_count,env_penalty_count,INT,,环保处罚数量,,1,,0,,,,企业聚合计数表
company_basic_count,equity_freeze_count,INT,,股权冻结数量,,1,,0,,,,企业聚合计数表
company_basic_count,executed_person_count,INT,,被执行人数量,,1,,0,,,,企业聚合计数表
company_bidding,company_bidding_id,BIGINT,,企业招投标记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业招投标信息表
company_bidding,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业招投标信息表
company_bidding,bidding_title,VARCHAR(255),,招投标项目名称,,,,,,,,企业招投标信息表
company_bidding,bidding_role,VARCHAR(64),,企业角色,,,,,,,,企业招投标信息表
company_bidding,publish_date,DATE,,发布日期,,,,,,,,企业招投标信息表
company_bidding,bidding_amount,"DECIMAL(18,4)",,招投标金额（万元）,,,,,,,,企业招投标信息表
company_branch,company_branch_id,BIGINT,,企业分支机构唯一标识,1,1,,,,,AUTO_INCREMENT,企业分支机构表
company_branch,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业分支机构表
company_branch,company_branch_name,VARCHAR(255),,企业分支机构名称,,1,,,,,,企业分支机构表
company_branch,company_branch_address,VARCHAR(255),,企业分支机构（注册）地址,,,,,,,,企业分支机构表
company_branch,company_branch_status,TINYINT,,企业分支机构状态（存续、注销、吊销）,,,,,,,,企业分支机构表
company_branch,company_branch_establish_date,DATE,,企业分支机构成立日期,,,,,,,,企业分支机构表
company_branch,company_branch_legal_representative,VARCHAR(255),,企业分支机构法定代表人,,,,,,,,企业分支机构表
company_branch,company_branch_business_scope,TEXT,,企业分支机构经营范围,,,,,,,,企业分支机构表
company_branch,company_branch_taxpayer_credit_rating,VARCHAR(16),,企业分支机构纳税人信用等级,,,,,,,,企业分支机构表
company_change,company_change_id,BIGINT,,企业变更记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业变更信息表
company_change,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业变更信息表
company_change,change_item,VARCHAR(255),,变更事项,,1,,,,,,企业变更信息表
company_change,before_change,TEXT,,变更前内容,,,,,,,,企业变更信息表
company_change,after_change,TEXT,,变更后内容,,,,,,,,企业变更信息表
company_change,change_date,DATE,,变更日期,,,,,,,,企业变更信息表
company_consumption_restriction,company_consumption_restriction_id,BIGINT,,限制高消费记录唯一标识,1,1,,,,,AUTO_INCREMENT,限制高消费表
company_consumption_restriction,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,限制高消费表
company_consumption_restriction,case_no,VARCHAR(255),,案号,,,,,,,,限制高消费表
company_consumption_restriction,restricted_subject,VARCHAR(255),,限制对象,,,,,,,,限制高消费表
company_consumption_restriction,filing_date,DATE,,立案日期,,,,,,,,限制高消费表
company_consumption_restriction,publish_date,DATE,,发布日期,,,,,,,,限制高消费表
company_contact_info,company_contact_info_id,BIGINT,,联系方式记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业联系方式表
company_contact_info,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业联系方式表
company_contact_info,contact_info,VARCHAR(255),,联系方式,,1,,,,,,企业联系方式表
company_contact_info,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业联系方式表
company_contact_info,captured_at,DATETIME,,抓取/核准时间,,,,,,,,企业联系方式表
company_contact_phone,company_contact_phone_id,BIGINT,,联系电话记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业联系电话表
company_contact_phone,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业联系电话表
company_contact_phone,contact_phone,VARCHAR(255),,联系电话,,1,,,,,,企业联系电话表
company_contact_phone,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业联系电话表
company_contact_phone,captured_at,DATETIME,,抓取/核准时间,,,,,,,,企业联系电话表
company_customer,company_customer_id,BIGINT,,企业客户记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业客户信息表
company_customer,company_customer_name,VARCHAR(255),,企业客户名称,,1,,,,,,企业客户信息表
company_customer,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业客户信息表
company_customer,customer_company_id,BIGINT,,客户企业 ID,,,,,company_basic.company_id,,,企业客户信息表
company_customer,company_customer_sales_amount,"DECIMAL(20,2)",,企业客户销售金额（万元）,,,,,,,,企业客户信息表
company_customer,company_customer_sales_ratio,"DECIMAL(5,2)",,企业客户销售占比,,,,,,((`company_customer_sales_ratio` is null) or ((`company_customer_sales_ratio` >= 0) and (`company_customer_sales_ratio` <= 100))),,企业客户信息表
company_customer,company_customer_report_date,DATE,,报告时间,,,,,,,,企业客户信息表
company_employee_count,company_employee_count_id,BIGINT,,企业员工人数记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业员工人数表
company_employee_count,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业员工人数表
company_employee_count,stat_year,SMALLINT,,统计年份,,1,,,,,,企业员工人数表
company_employee_count,employee_count,INT,,员工人数,,1,,,,(`employee_count` >= 0),,企业员工人数表
company_financing,company_financing_id,BIGINT,,企业投融资记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业投融资轮次信息表
company_financing,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业投融资轮次信息表
company_financing,financing_round,VARCHAR(255),,投融资轮次,,1,,,,,,企业投融资轮次信息表
company_financing,verify_time,DATE,,核准时间,,,,,,,,企业投融资轮次信息表
company_financing,financing_amount,"DECIMAL(18,4)",,融资金额（万元）,,,,,,,,企业投融资轮次信息表
company_financing,investor_name,VARCHAR(255),,投资方名称,,,,,,,,企业投融资轮次信息表
company_financing,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业投融资轮次信息表
company_former_name,company_former_name_id,BIGINT,,企业曾用名记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业曾用名表
company_former_name,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业曾用名表
company_former_name,former_name,VARCHAR(255),,企业曾用名,,1,,,,,,企业曾用名表
company_former_name,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业曾用名表
company_former_name,effective_date,DATE,,生效时间,,,,,,,,企业曾用名表
company_former_name,sort_order,INT,,排序序号,,1,,0,,(`sort_order` >= 0),,企业曾用名表
company_listing_status,company_listing_status_id,BIGINT,,企业上市状态记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业上市状态表
company_listing_status,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业上市状态表
company_listing_status,listing_status,TINYINT,,上市状态（2:终止上市，1:正常上市，0:未上市）,,1,,,,"(`listing_status` in (0,1,2))",,企业上市状态表
company_listing_status,stock_code,VARCHAR(32),,股票代码,,,,,,,,企业上市状态表
company_listing_status,market_name,VARCHAR(255),,上市市场,,,,,,,,企业上市状态表
company_listing_status,listed_at,DATE,,上市日期,,,,,,,,企业上市状态表
company_listing_status,delisted_at,DATE,,终止上市日期,,,,,,,,企业上市状态表
company_listing_status,is_latest,TINYINT,,是否为最新记录,,1,,1,,"(`is_latest` in (0,1))",,企业上市状态表
company_patent,company_patent_id,BIGINT,,专利唯一标识,1,1,,,,,AUTO_INCREMENT,企业专利表
company_patent,company_patent_number,VARCHAR(255),,专利号,,1,1,,,,,企业专利表
company_patent,company_patent_name,VARCHAR(255),,专利名称,,1,,,,,,企业专利表
company_patent,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业专利表
company_patent,application_date,DATE,,专利申请日期,,,,,,,,企业专利表
company_patent,auth_date,DATE,,专利授权日期,,,,,,,,企业专利表
company_patent,tech_attribute_label,VARCHAR(255),,科技属性标签,,,,,,,,企业专利表
company_patent,sort_order,INT,,排序序号,,1,,0,,(`sort_order` >= 0),,企业专利表
company_patent_company_map,company_patent_company_map_id,BIGINT,,映射唯一标识,1,1,,,,,AUTO_INCREMENT,企业与专利映射表
company_patent_company_map,company_patent_id,BIGINT,,专利唯一标识,,1,,,company_patent.company_patent_id,,,企业与专利映射表
company_patent_company_map,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业与专利映射表
company_patent_patent_type_map,company_patent_patent_type_id,BIGINT,,映射唯一标识,1,1,,,,,AUTO_INCREMENT,企业专利与专利类型映射表
company_patent_patent_type_map,company_patent_id,BIGINT,,专利唯一标识,,1,,,company_patent.company_patent_id,,,企业专利与专利类型映射表
company_patent_patent_type_map,company_patent_type_id,BIGINT,,专利类型唯一标识,,1,,,company_patent_type.company_patent_type_id,,,企业专利与专利类型映射表
company_patent_type,company_patent_type_id,BIGINT,,专利类型唯一标识,1,1,,,,,AUTO_INCREMENT,专利类型表
company_patent_type,company_patent_type_name,VARCHAR(255),,专利类型名称,,1,1,,,,,专利类型表
company_qualification,company_qualification_id,BIGINT,,企业资质记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业资质表
company_qualification,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业资质表
company_qualification,qualification_name,VARCHAR(255),,企业资质/科技属性名称,,1,,,,,,企业资质表
company_qualification,qualification_level,TINYINT,,资质等级,,,,,,,,企业资质表
company_qualification,qualification_type,VARCHAR(255),,资质类型,,,,,,,,企业资质表
company_qualification,issued_at,DATE,,认定日期,,,,,,,,企业资质表
company_qualification,expires_at,DATE,,失效日期,,,,,,,,企业资质表
company_qualification,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业资质表
company_ranking,company_ranking_id,BIGINT,,企业榜单唯一标识,1,1,,,,,AUTO_INCREMENT,企业榜单表
company_ranking,company_ranking_name,VARCHAR(255),,企业榜单名称,,1,,,,,,企业榜单表
company_ranking,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业榜单表
company_ranking,company_ranking_type,VARCHAR(255),,企业榜单类型,,,,,,,,企业榜单表
company_ranking,company_ranking_source,VARCHAR(255),,企业榜单来源,,,,,,,,企业榜单表
company_ranking,company_ranking_position,INT,,榜内位置（数字）,,,,,,,,企业榜单表
company_ranking,company_ranking_alias,VARCHAR(255),,榜内名称,,,,,,,,企业榜单表
company_ranking,company_ranking_publish_year,INT,,榜单发布年份,,,,,,,,企业榜单表
company_recommended_phone,company_recommended_phone_id,BIGINT,,推荐电话记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业推荐电话表
company_recommended_phone,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业推荐电话表
company_recommended_phone,recommended_phone,VARCHAR(255),,推荐电话,,1,,,,,,企业推荐电话表
company_recommended_phone,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业推荐电话表
company_recommended_phone,captured_at,DATETIME,,抓取/核准时间,,,,,,,,企业推荐电话表
company_recruit,company_recruit_id,BIGINT,,企业招聘记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业招聘信息表
company_recruit,company_recruit_position,VARCHAR(255),,企业招聘岗位,,1,,,,,,企业招聘信息表
company_recruit,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业招聘信息表
company_recruit,company_recruit_salary,VARCHAR(255),,企业招聘薪资,,,,,,,,企业招聘信息表
company_recruit,company_recruit_work_year_req,VARCHAR(255),,企业招聘工作年限要求,,,,,,,,企业招聘信息表
company_recruit,company_recruit_work_place,VARCHAR(255),,企业招聘工作地点,,,,,,,,企业招聘信息表
company_recruit,company_recruit_edu_req,VARCHAR(255),,企业招聘学历要求,,,,,,,,企业招聘信息表
company_recruit,company_recruit_time,DATE,,企业招聘时间,,,,,,,,企业招聘信息表
company_risk,company_risk_category_id,BIGINT,,企业风险种类唯一标识,1,1,,,,,AUTO_INCREMENT,企业风险统计表
company_risk,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业风险统计表
company_risk,company_risk_category_name,VARCHAR(255),,企业风险种类名称,,1,,,,,,企业风险统计表
company_risk,company_risk_category_count,INT,,企业风险数量,,1,,0,,(`company_risk_category_count` >= 0),,企业风险统计表
company_shareholder,company_shareholder_id,BIGINT,,企业股东记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业股东信息表
company_shareholder,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业股东信息表
company_shareholder,shareholder_name,VARCHAR(255),,股东名称,,1,,,,,,企业股东信息表
company_shareholder,shareholder_type,VARCHAR(64),,股东类型,,,,,,,,企业股东信息表
company_shareholder,holding_ratio,"DECIMAL(5,2)",,持股比例,,,,,,((`holding_ratio` is null) or ((`holding_ratio` >= 0) and (`holding_ratio` <= 100))),,企业股东信息表
company_shareholder,subscribed_amount,"DECIMAL(18,4)",,认缴出资额（万元）,,,,,,,,企业股东信息表
company_shareholder,paid_amount,"DECIMAL(18,4)",,实缴出资额（万元）,,,,,,,,企业股东信息表
company_shareholder,is_latest,TINYINT,,是否为最新记录,,1,,0,,"(`is_latest` in (0,1))",,企业股东信息表
company_shareholder,captured_at,DATETIME,,抓取/核准时间,,,,,,,,企业股东信息表
company_software_copyright,company_software_copyright_id,BIGINT,,软件著作唯一标识,1,1,,,,,AUTO_INCREMENT,企业软件著作权表
company_software_copyright,company_software_copyright_name,VARCHAR(255),,软件著作名称,,1,,,,,,企业软件著作权表
company_software_copyright,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业软件著作权表
company_software_copyright,company_software_copyright_register_number,VARCHAR(255),,软件著作登记号,,1,1,,,,,企业软件著作权表
company_software_copyright,company_software_copyright_register_date,DATE,,软件著作登记批准日期,,,,,,,,企业软件著作权表
company_software_copyright,company_software_copyright_for_short,VARCHAR(255),,软件著作简称,,,,,,,,企业软件著作权表
company_software_copyright,company_software_copyright_status,VARCHAR(255),,软件著作状态,,,,,,,,企业软件著作权表
company_software_copyright,company_software_copyright_obtain,VARCHAR(255),,软件著作取得方式,,,,,,,,企业软件著作权表
company_subdistrict,company_subdistrict_id,BIGINT,,街道/地区 ID,1,1,,,,,AUTO_INCREMENT,企业街道/地区映射表
company_subdistrict,company_subdistrict_name,VARCHAR(255),,街道/地区名称,,1,,,,,,企业街道/地区映射表
company_subdistrict,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业街道/地区映射表
company_supplier,company_supplier_id,BIGINT,,企业供应商记录唯一标识,1,1,,,,,AUTO_INCREMENT,企业供应商信息表
company_supplier,company_supplier_name,VARCHAR(255),,企业供应商名称,,1,,,,,,企业供应商信息表
company_supplier,company_id,BIGINT,,企业唯一标识,,1,,,company_basic.company_id,,,企业供应商信息表
company_supplier,supplier_company_id,BIGINT,,供应商企业 ID,,,,,company_basic.company_id,,,企业供应商信息表
